#centrality dS/dy Npart_min Npart_max b_min(fm) b_max(fm)
0.0 1000000.0 500.0 500.0 0.0 0.0
0.001 9.3657724 2.0 2.0 0.16842711 2.0009135
0.002 8.8893496 2.0 2.0 0.30885808 2.0440186
0.003 8.7090171 2.0 2.0 1.0115996 2.3592214
0.004 8.417451 2.0 2.0 0.68385589 2.8358564
0.005 8.2776273 2.0 2.0 0.94611266 1.9211979
0.006 8.1047251 2.0 2.0 0.33513013 1.6889048
0.007 7.9909893 2.0 2.0 0.2726433 1.8339685
0.008 7.8782777 2.0 2.0 0.044813466 2.0046878
0.009 7.7536424 2.0 2.0 0.42422107 1.6200007
0.01 7.7021039 2.0 2.0 0.37914362 1.8044058
0.02 7.1002065 2.0 2.0 0.16589618 2.6755209
0.03 6.7427473 2.0 2.0 0.062403019 2.1753172
0.04 6.5350457 2.0 2.0 0.12489919 2.6150696
0.05 6.3671339 2.0 2.0 0.2009552 2.47601
0.06 6.2072181 2.0 2.0 0.090456725 2.6920278
0.07 6.0966024 2.0 2.0 0.20408246 2.2815586
0.08 5.9795425 2.0 2.0 0.10083099 2.5330479
0.09 5.9041907 2.0 2.0 0.027275244 2.5397056
0.1 5.8004704 2.0 2.0 0.071126451 2.5293605
0.2 5.2699297 2.0 2.0 0.076554663 3.1019926
0.3 4.9552626 2.0 2.0 0.091755929 3.1411998
0.4 4.7286615 2.0 2.0 0.037454774 3.3165004
0.5 4.5526747 2.0 2.0 0.041400405 2.9323997
0.6 4.4050192 2.0 2.0 0.046183323 2.9276518
0.7 4.2841794 2.0 2.0 0.074961879 3.213296
0.8 4.178442 2.0 2.0 0.048038316 3.1956043
0.9 4.0830637 2.0 2.0 0.019930698 2.9870295
1.0 4.0025588 2.0 2.0 0.060778014 2.9149433
2.0 3.4447091 2.0 2.0 0.017713183 3.927714
3.0 3.1236922 2.0 2.0 0.0073137288 4.1245097
4.0 2.8953382 2.0 2.0 0.027672128 3.2605035
5.0 2.7095235 2.0 2.0 0.0071484544 3.3292612
6.0 2.5584744 2.0 2.0 0.017812238 3.1715219
7.0 2.4338729 2.0 2.0 0.014994153 3.7757797
8.0 2.3262318 2.0 2.0 0.010356801 3.3818615
9.0 2.2310195 2.0 2.0 0.016528616 3.4515588
10.0 2.1428764 2.0 2.0 0.01974992 3.3482222
11.0 2.06444 2.0 2.0 0.016717849 3.4320944
12.0 1.9932237 2.0 2.0 0.019854512 3.1706183
13.0 1.9278191 2.0 2.0 0.018292747 3.2116307
14.0 1.8662134 2.0 2.0 0.024989703 3.4071892
15.0 1.8095292 2.0 2.0 0.015766661 3.4067229
16.0 1.7559321 2.0 2.0 0.0071478147 3.1573649
17.0 1.7049479 2.0 2.0 0.0055438306 3.4723419
18.0 1.6566964 2.0 2.0 0.018254238 3.353185
19.0 1.6115916 2.0 2.0 0.018298472 3.555175
20.0 1.5676693 2.0 2.0 0.0078200574 3.5253987
21.0 1.5257953 2.0 2.0 0.021639579 3.2586999
22.0 1.4860785 2.0 2.0 0.01063977 3.2538509
23.0 1.4475373 2.0 2.0 0.019550657 3.3633516
24.0 1.4118629 2.0 2.0 0.018299381 3.5607621
25.0 1.3766123 2.0 2.0 0.028700559 3.8297847
26.0 1.3431415 2.0 2.0 0.0066917749 3.6282673
27.0 1.3114958 2.0 2.0 0.019246591 3.322007
28.0 1.2796738 2.0 2.0 0.0073296851 3.5394037
29.0 1.2497302 2.0 2.0 0.011298066 3.4683294
30.0 1.2205249 2.0 2.0 0.018702711 3.4336626
31.0 1.1920339 2.0 2.0 0.023910185 3.3840659
32.0 1.1642896 2.0 2.0 0.015504749 3.5722126
33.0 1.1374206 2.0 2.0 0.0055443382 3.2399916
34.0 1.1115523 2.0 2.0 0.018360138 3.383296
35.0 1.0861693 2.0 2.0 0.026886703 4.0263336
36.0 1.0612404 2.0 2.0 0.00044699064 3.1855752
37.0 1.0370393 2.0 2.0 0.014733643 3.2858349
38.0 1.013227 2.0 2.0 0.0207929 3.4695176
39.0 0.98999505 2.0 2.0 0.017079273 3.2159217
40.0 0.96757461 2.0 2.0 0.018465565 3.2015958
41.0 0.94571929 2.0 2.0 0.021342638 3.6188092
42.0 0.92379141 2.0 2.0 0.0053856542 3.1632339
43.0 0.90280384 2.0 2.0 0.0068088482 3.6090454
44.0 0.88190195 2.0 2.0 0.017001818 3.2776649
45.0 0.86116188 2.0 2.0 0.010138366 3.6011432
46.0 0.8410844 2.0 2.0 0.010836071 3.2759451
